SiteID,OrderID,Order Status,Order Create Date,Task Category,Task Name,Task Status,Task Complete Date
1064967,S-1064967,Completed,7/23/2023,Custom,Custom,Done,7/23/2023
1190714,S-1190714,Completed,10/24/2023,Custom,Custom,Done,10/24/2023
1218432,S-1218432,Completed,11/17/2023,Custom,Custom,Done,11/17/2023
1234911,S-1234911,Completed,12/6/2023,Custom,Custom,Done,12/6/2023
1235777,S-1235777,Completed,12/7/2023,Custom,Custom,Done,12/7/2023
1239982,S-1239982,Completed,12/12/2023,Custom,Custom,Done,12/12/2023
1245435,S-1245435,Completed,12/18/2023,Custom,Custom,Done,12/18/2023
1263062,S-1263062,Completed,1/2/2024,Custom,Custom,Done,1/2/2024
1263260,S-1263260,Completed,1/2/2024,Custom,Custom,Done,1/2/2024
1282556,S-1282556,Completed,1/18/2024,Custom,Custom,Done,1/18/2024
1405572,S-1405572,Completed,4/5/2024,Custom,Custom,Done,4/5/2024
1473442,S-1473442,Completed,5/9/2024,Custom,Custom,Done,5/9/2024
1479544,S-1479544,Completed,5/13/2024,Custom,Custom,Done,5/13/2024
1498628,S-1498628,Completed,5/22/2024,Custom,Custom,Done,5/22/2024
1508236,S-1508236,Completed,5/28/2024,Custom,Custom,Done,5/28/2024
1567468,S-1567468,Completed,6/24/2024,Custom,Custom,Done,6/24/2024
1625225,S-1625225,Completed,7/24/2024,Custom,Custom,Done,7/24/2024
