SiteID,OrderID,Order Status,Order Create Date,Task Category,Task Name,Task Status,Task Complete Date
980171,840450,Completed,5/17/2023 17:57,Residential Photography,"No photo needed, I am ordering other services",Done,5/17/2023 17:57
980171,840450,Completed,5/17/2023 17:57,Luxury Mini Sets,Limitless Luxury Set Selected,Done,5/17/2023 17:57
980224,840474,Completed,5/17/2023 18:11,Luxury Mini Sets,40 Photos,Done,5/21/2023 17:45
980235,840482,Completed,5/17/2023 18:16,Residential Photography,4501-5999 SqFt,Done,5/25/2023 18:31
980235,840482,Completed,5/17/2023 18:16,Video,Cinematic Walk-Through,Done,5/29/2023 17:20
1002829,862059,Completed,6/4/2023 11:25,Residential Photography,1200-2500 SqFt ,Done,6/7/2023 15:24
1012475,871034,Completed,6/11/2023 10:07,Luxury Mini Sets,30 Photos,Done,6/11/2023 10:10
1012476,871035,Completed,6/11/2023 10:08,Luxury Mini Sets,30 Photos,Done,6/11/2023 10:08
1040957,897352,Completed,7/4/2023 10:00,Luxury Mini Sets,40 Photos,Done,7/7/2023 9:28
1040957,897352,Completed,7/4/2023 10:00,Drone,Drone Photography,Canceled,
1046078,902124,Completed,7/7/2023 22:30,Luxury Mini Sets,40 Photos,Done,7/13/2023 20:54
1059086,914065,Completed,7/18/2023 13:07,,Trip charge,Done,7/28/2023 7:14
1059086,914065,Completed,7/18/2023 13:07,Luxury Mini Sets,40 Photos,Done,7/28/2023 7:14
1062336,917047,Completed,7/20/2023 13:52,,3 Staged Photos (15% discount for 3 or more),Done,8/3/2023 18:58
1062336,917047,Completed,7/20/2023 13:52,,8x11 Custom Design,Done,8/7/2023 18:07
1062336,917047,Completed,7/20/2023 13:52,Residential Photography,0 - 1199 SqFt,Done,8/3/2023 18:58
1066054,920503,Completed,7/24/2023 12:27,Luxury Mini Sets,40 Photos,Done,7/27/2023 12:58
1066054,920503,Completed,7/24/2023 12:27,Twilights & Exteriors,Twilight Photography,Done,7/27/2023 12:58
1096103,946821,Completed,8/15/2023 11:44,,"Interior Portfolio Photography of Home. Woodshop Photo, Group Photo and Exterior Wood Photos",Done,9/11/2023 14:27
1108100,955694,Completed,8/22/2023 16:31,Luxury Mini Sets,40 Photos,Done,9/6/2023 22:00
1108100,955694,Completed,8/22/2023 16:31,Drone,60 Second Flyover Video ,Done,9/6/2023 22:00
1116699,962117,Completed,8/28/2023 14:55,,Interior Only Photos,Done,9/1/2023 20:03
1120212,965401,Completed,8/30/2023 15:18,Residential Photography,2500-3500 SqFt,Done,9/9/2023 12:27
1120212,965401,Completed,8/30/2023 15:18,Video,Cinematic Walk-Through,Done,9/9/2023 12:27
1125879,970467,Completed,9/5/2023 10:55,Residential Photography,1200-2500 SqFt ,Done,9/6/2023 22:00
1125879,970467,Completed,9/5/2023 10:55,Video,Cinematic Walk-Through,Done,9/6/2023 22:00
1136130,979956,Completed,9/12/2023 13:49,,Drone photos and video.  Still Exterior Photography,Done,9/13/2023 8:11
1137633,981328,Completed,9/13/2023 11:44,Residential Photography,1200-2500 SqFt ,Done,9/20/2023 9:24
1137633,981328,Completed,9/13/2023 11:44,Virtual Staging,2x  Virtual Staging,Done,9/20/2023 9:24
1149649,992377,Completed,9/22/2023 10:42,,11x17 Custom Brochure,Done,10/10/2023 8:53
1149649,992377,Completed,9/22/2023 10:42,Residential Photography,2500-3500 SqFt,Done,10/3/2023 8:20
1149649,992377,Completed,9/22/2023 10:42,Video,Basic HD Video Walk-through,Done,10/2/2023 15:55
1149649,992377,Completed,9/22/2023 10:42,2D/3D Floorplans,2D Floorplan 1-5999ft²,Done,10/3/2023 8:20
1149649,992377,Completed,9/22/2023 10:42,Property Websites,Custom Property Website ,Done,10/3/2023 8:20
1149849,992580,Completed,9/22/2023 12:16,,Remodel Photos,Done,9/29/2023 12:48
1149849,992580,Completed,9/22/2023 12:16,,Alpine Sky Quick Shots,Done,9/29/2023 12:48
1155727,998069,Completed,9/27/2023 11:01,,33421 CR33 Drone Video and Exteriors,Done,10/3/2023 9:26
1155727,998069,Completed,9/27/2023 11:01,,35333 CR 37 Drone Video and Exteriors,Done,10/3/2023 9:26
1155727,998069,Completed,9/27/2023 11:01,,17141 CR 70 Drone Video and Exteriors,Done,10/3/2023 9:26
1197938,1037048,Completed,10/30/2023 21:13,Luxury Mini Sets,40 Photos,Done,11/2/2023 7:25
1219796,1057135,Completed,11/18/2023 22:31,Residential Photography,1200-2500 SqFt ,Done,11/22/2023 12:04
1239506,1075029,Completed,12/12/2023 10:17,Residential Photography,40 Photos,Done,12/19/2023 9:22
1240956,1076362,Completed,12/13/2023 14:12,Residential Photography,40 Photos,Done,12/20/2023 12:01
1281248,1104444,Completed,1/17/2024 16:25,Residential Photography,50 Photos,Done,1/24/2024 12:15
1281248,1104444,Completed,1/17/2024 16:25,Video,Social Media Upgrade,Done,1/24/2024 12:15
1281248,1104444,Completed,1/17/2024 16:25,2D/3D Floorplans,2D Floorplan 1-5999ft²,Done,1/24/2024 12:15
1299138,1120172,Completed,1/31/2024 13:48,Residential Photography,30 Photos,Done,2/6/2024 9:45
1299138,1120172,Completed,1/31/2024 13:48,Residential Photography,Dont need a drone?,Done,2/6/2024 9:45
1306949,1127435,Completed,2/6/2024 11:52,Residential Photography,40 Photos,Done,2/8/2024 9:21
1309741,1130004,Completed,2/7/2024 19:11,Residential Photography,40 Photos,Done,2/19/2024 13:10
1311185,1131286,Completed,2/8/2024 16:27,Residential Photography,30 Photos,Done,2/13/2024 12:17
1312354,1132398,Completed,2/9/2024 13:05,Residential Photography,40 Photos,Done,2/27/2024 16:32
1312354,1132398,Completed,2/9/2024 13:05,Residential Photography,Dont need a drone?,Done,2/27/2024 16:32
1325695,1144564,Completed,2/19/2024 16:41,Drone,Drone Photography,Done,2/25/2024 10:47
1336270,1154422,Completed,2/26/2024 14:39,Residential Photography,40 Photos,Done,3/21/2024 8:53
1338345,1156386,Completed,2/27/2024 13:47,Residential Photography,30 Photos,Done,3/8/2024 8:56
1338345,1156386,Completed,2/27/2024 13:47,Residential Photography,Dont need a drone?,Done,3/8/2024 8:56
